id,city_id,driver_id,date,sum
1,87,660,2025-09-06,47
2,57,1068,2025-09-12,310
3,39,755,2025-09-14,363
4,33,568,2025-09-28,164
5,26,494,2025-09-28,257
6,14,343,2025-09-13,302
7,46,689,2025-09-10,368
8,38,123,2025-09-27,347
9,51,382,2025-09-01,299
10,88,897,2025-09-24,35
11,78,864,2025-09-16,436
12,37,895,2025-09-26,127
13,78,922,2025-09-12,122
14,82,295,2025-09-20,138
15,87,874,2025-09-24,402
16,85,798,2025-09-27,80
17,81,200,2025-09-29,331
18,83,141,2025-09-10,413
19,57,135,2025-09-19,196
20,94,235,2025-09-03,475
21,38,435,2025-09-24,222
22,23,306,2025-09-05,412
23,70,998,2025-09-12,281
24,65,1036,2025-09-09,435
25,22,364,2025-09-30,432
26,62,1091,2025-09-26,161
27,96,992,2025-09-11,421
28,15,580,2025-09-03,82
29,97,1090,2025-09-08,450
30,87,842,2025-09-22,213
31,72,475,2025-09-03,414
32,51,115,2025-09-09,284
33,16,566,2025-09-12,354
34,96,789,2025-09-09,309
35,49,943,2025-09-21,491
36,48,211,2025-09-22,129
37,61,126,2025-09-20,462
38,72,436,2025-09-30,322
39,29,764,2025-09-03,335
40,60,1032,2025-09-23,164
41,84,519,2025-09-04,81
42,6,1069,2025-09-02,165
43,64,219,2025-09-04,130
44,69,239,2025-09-13,242
45,48,787,2025-09-24,366
46,70,530,2025-09-19,390
47,94,259,2025-09-29,222
48,84,202,2025-09-27,260
49,79,518,2025-09-09,26
50,89,480,2025-09-07,237
51,57,1074,2025-09-08,447
52,47,202,2025-09-22,198
53,70,1024,2025-09-21,193
54,8,508,2025-09-09,107
55,16,1072,2025-09-28,431
56,59,194,2025-09-22,118
57,83,755,2025-09-20,20
58,7,906,2025-09-11,134
59,17,906,2025-09-19,115
60,9,950,2025-09-25,293
61,27,701,2025-09-07,426
62,30,437,2025-09-25,85
63,77,103,2025-09-09,449
64,19,234,2025-09-18,138
65,23,213,2025-09-22,453
66,4,235,2025-09-01,193
67,31,703,2025-09-11,18
68,23,372,2025-09-02,74
69,95,532,2025-09-17,68
70,96,166,2025-09-16,239
71,100,471,2025-09-17,313
72,14,563,2025-09-17,123
73,79,145,2025-09-24,411
74,85,634,2025-09-10,244
75,83,1088,2025-09-01,41
76,62,968,2025-09-13,228
77,88,211,2025-09-16,374
78,57,176,2025-09-29,51
79,42,723,2025-09-05,43
80,17,382,2025-09-20,334
81,75,662,2025-09-23,176
82,49,712,2025-09-17,160
83,59,618,2025-09-20,230
84,13,913,2025-09-23,68
85,84,767,2025-09-29,403
86,71,839,2025-09-28,120
87,56,563,2025-09-29,126
88,53,448,2025-09-27,242
89,52,526,2025-09-24,58
90,41,538,2025-09-11,350
91,33,484,2025-09-05,361
92,61,169,2025-09-03,435
93,11,196,2025-09-14,59
94,96,857,2025-09-12,425
95,17,670,2025-09-02,310
96,72,676,2025-09-11,353
97,16,521,2025-09-12,457
98,86,1064,2025-09-25,226
99,93,153,2025-09-10,317
100,40,461,2025-09-04,305
101,65,318,2025-09-05,346
102,62,330,2025-09-28,65
103,45,966,2025-09-18,198
104,15,881,2025-09-09,303
105,29,927,2025-09-14,442
106,72,1098,2025-09-25,429
107,80,729,2025-09-22,339
108,72,127,2025-09-20,485
109,85,950,2025-09-23,146
110,4,285,2025-09-09,369
111,98,417,2025-09-30,183
112,45,107,2025-09-06,455
113,19,680,2025-09-22,215
114,9,246,2025-09-24,334
115,4,194,2025-09-24,281
116,28,486,2025-09-14,242
117,44,262,2025-09-12,169
118,93,433,2025-09-25,492
119,73,711,2025-09-03,462
120,7,260,2025-09-06,396
121,80,151,2025-09-22,51
122,35,554,2025-09-22,227
123,63,722,2025-09-15,222
124,35,321,2025-09-25,272
125,15,454,2025-09-14,66
126,37,795,2025-09-22,313
127,63,640,2025-09-22,167
128,6,326,2025-09-13,316
129,8,108,2025-09-07,164
130,28,886,2025-09-05,401
131,33,397,2025-09-11,71
