id,city_id,driver_id,date,sum
14,82,295,2025-09-20,138
37,61,126,2025-09-20,462
57,83,755,2025-09-20,20
80,17,382,2025-09-20,334
83,59,618,2025-09-20,230
108,72,127,2025-09-20,485
166,12,730,2025-09-20,269
200,80,235,2025-09-20,202
202,89,890,2025-09-20,424
294,58,320,2025-09-20,156
339,27,449,2025-09-20,83
364,36,946,2025-09-20,358
368,19,304,2025-09-20,270
373,42,1054,2025-09-20,173
374,21,503,2025-09-20,388
385,81,839,2025-09-20,406
391,65,894,2025-09-20,481
432,39,682,2025-09-20,64
441,25,280,2025-09-20,448
455,38,477,2025-09-20,123
494,85,530,2025-09-20,402
523,87,720,2025-09-20,30
530,32,813,2025-09-20,370
557,48,162,2025-09-20,336
558,86,1057,2025-09-20,477
594,10,449,2025-09-20,403
595,79,1078,2025-09-20,213
622,81,608,2025-09-20,325
627,84,1098,2025-09-20,79
628,39,429,2025-09-20,495
675,4,856,2025-09-20,462
683,82,421,2025-09-20,208
771,73,109,2025-09-20,342
780,71,716,2025-09-20,379
895,5,729,2025-09-20,325
964,12,447,2025-09-20,324
966,84,269,2025-09-20,465
975,85,741,2025-09-20,255
1014,63,686,2025-09-20,252
1016,19,734,2025-09-20,358
1026,94,527,2025-09-20,340
1087,75,695,2025-09-20,46
1112,94,633,2025-09-20,278
1132,66,837,2025-09-20,70
1134,64,304,2025-09-20,112
1164,57,286,2025-09-20,204
1165,100,468,2025-09-20,24
1178,72,1014,2025-09-20,37
1192,12,911,2025-09-20,326
1221,50,774,2025-09-20,320
1338,13,392,2025-09-20,45
1403,99,287,2025-09-20,347
1411,61,1024,2025-09-20,317
1452,37,829,2025-09-20,39
1493,32,957,2025-09-20,192
1498,62,481,2025-09-20,171
1722,26,675,2025-09-20,386
1735,32,1072,2025-09-20,484
1800,57,988,2025-09-20,260
1845,57,182,2025-09-20,317
1851,74,959,2025-09-20,162
1854,87,392,2025-09-20,348
1855,89,817,2025-09-20,303
1873,24,1005,2025-09-20,129
1926,15,116,2025-09-20,296
1931,10,419,2025-09-20,466
1936,23,822,2025-09-20,466
1938,90,557,2025-09-20,192
1968,15,707,2025-09-20,247
1971,52,172,2025-09-20,65
1972,88,934,2025-09-20,404
2020,75,420,2025-09-20,37
2033,33,236,2025-09-20,153
2035,95,215,2025-09-20,99
2069,5,125,2025-09-20,57
2070,8,1062,2025-09-20,346
2071,28,1074,2025-09-20,336
2088,56,324,2025-09-20,339
2130,13,568,2025-09-20,97
2157,68,198,2025-09-20,195
2280,4,512,2025-09-20,440
2282,42,157,2025-09-20,338
2347,57,1012,2025-09-20,277
2361,16,1043,2025-09-20,115
2367,100,847,2025-09-20,133
2395,44,306,2025-09-20,442
2401,61,783,2025-09-20,496
2408,23,492,2025-09-20,357
2470,69,929,2025-09-20,446
2490,11,422,2025-09-20,162
2554,7,511,2025-09-20,229
2622,10,661,2025-09-20,205
2634,35,677,2025-09-20,226
2685,95,693,2025-09-20,384
2693,15,607,2025-09-20,490
2817,80,781,2025-09-20,219
2879,59,1083,2025-09-20,178
2900,91,824,2025-09-20,117
2934,10,895,2025-09-20,327
2945,30,986,2025-09-20,413
2962,61,417,2025-09-20,185
2970,89,579,2025-09-20,364
2976,30,578,2025-09-20,119
2994,68,919,2025-09-20,461
3062,78,1036,2025-09-20,303
3091,39,501,2025-09-20,431
3182,55,281,2025-09-20,137
3187,55,618,2025-09-20,386
3213,19,368,2025-09-20,243
3251,97,446,2025-09-20,229
3259,18,127,2025-09-20,72
3312,90,136,2025-09-20,173
3398,49,127,2025-09-20,136
3411,71,378,2025-09-20,60
3443,68,801,2025-09-20,31
3457,60,1014,2025-09-20,444
3522,81,861,2025-09-20,71
3614,88,409,2025-09-20,428
3659,83,133,2025-09-20,394
3667,28,511,2025-09-20,38
3704,27,726,2025-09-20,48
3719,66,966,2025-09-20,497
3722,88,144,2025-09-20,339
3817,20,129,2025-09-20,372
3829,59,1050,2025-09-20,72
3844,16,298,2025-09-20,25
3861,58,534,2025-09-20,392
3901,48,1061,2025-09-20,62
3934,58,989,2025-09-20,272
4057,1,257,2025-09-20,460
4104,9,164,2025-09-20,138
4134,67,1055,2025-09-20,266
4135,40,509,2025-09-20,39
4145,73,1027,2025-09-20,369
4155,26,648,2025-09-20,450
4161,16,1019,2025-09-20,472
4170,41,459,2025-09-20,345
4181,53,823,2025-09-20,258
4201,93,950,2025-09-20,232
4213,51,140,2025-09-20,150
4241,4,435,2025-09-20,413
4288,44,706,2025-09-20,325
4346,63,672,2025-09-20,116
4348,89,370,2025-09-20,204
4375,15,1071,2025-09-20,322
4376,43,233,2025-09-20,286
4420,19,513,2025-09-20,439
4446,27,923,2025-09-20,497
4456,80,580,2025-09-20,90
4470,95,993,2025-09-20,352
4523,6,383,2025-09-20,111
4570,93,483,2025-09-20,182
4601,29,1007,2025-09-20,101
4629,66,933,2025-09-20,382
4657,34,411,2025-09-20,273
4663,86,147,2025-09-20,214
4667,35,574,2025-09-20,414
4670,29,166,2025-09-20,157
4671,94,830,2025-09-20,433
4690,17,488,2025-09-20,495
4696,54,1023,2025-09-20,152
4710,29,242,2025-09-20,327
4711,65,183,2025-09-20,302
4759,17,251,2025-09-20,159
4918,63,859,2025-09-20,193
4936,38,481,2025-09-20,222
4957,47,1080,2025-09-20,352
5004,82,980,2025-09-20,125
5013,94,728,2025-09-20,44
5029,70,861,2025-09-20,242
5038,78,1083,2025-09-20,452
5125,7,572,2025-09-20,234
5133,4,831,2025-09-20,261
5141,1,1095,2025-09-20,37
5172,57,132,2025-09-20,29
5214,74,756,2025-09-20,17
5221,77,353,2025-09-20,352
5292,85,903,2025-09-20,196
5298,100,991,2025-09-20,221
5324,69,1033,2025-09-20,219
5342,11,464,2025-09-20,419
5343,64,117,2025-09-20,466
5375,86,209,2025-09-20,72
5383,91,608,2025-09-20,371
5406,90,798,2025-09-20,357
5456,63,574,2025-09-20,471
5478,72,261,2025-09-20,237
5488,23,435,2025-09-20,438
5523,26,873,2025-09-20,141
5545,32,180,2025-09-20,64
5594,81,249,2025-09-20,184
5626,62,751,2025-09-20,313
5652,6,398,2025-09-20,179
5663,95,1070,2025-09-20,298
5700,51,561,2025-09-20,438
5706,10,544,2025-09-20,25
5717,88,720,2025-09-20,348
5720,69,630,2025-09-20,333
5727,36,371,2025-09-20,227
5741,19,361,2025-09-20,46
5765,27,655,2025-09-20,18
5773,75,982,2025-09-20,444
5782,64,620,2025-09-20,208
5826,31,983,2025-09-20,437
5830,21,756,2025-09-20,396
5841,27,176,2025-09-20,198
5842,39,219,2025-09-20,472
5858,56,180,2025-09-20,160
5878,26,196,2025-09-20,206
5935,10,952,2025-09-20,155
5970,31,626,2025-09-20,263
5974,44,920,2025-09-20,200
5980,68,705,2025-09-20,484
6064,68,718,2025-09-20,446
6097,35,356,2025-09-20,448
6222,66,979,2025-09-20,288
6230,67,252,2025-09-20,236
6244,81,867,2025-09-20,23
6256,4,146,2025-09-20,35
6269,31,521,2025-09-20,448
6323,70,150,2025-09-20,111
6338,17,958,2025-09-20,278
6403,78,878,2025-09-20,391
6417,8,518,2025-09-20,368
6431,89,680,2025-09-20,232
6457,68,158,2025-09-20,341
6471,86,234,2025-09-20,80
6511,94,804,2025-09-20,234
6545,5,1075,2025-09-20,364
6560,4,1057,2025-09-20,241
6603,42,117,2025-09-20,174
6622,6,117,2025-09-20,146
6646,17,412,2025-09-20,476
6723,86,1023,2025-09-20,249
6756,25,159,2025-09-20,431
6766,7,218,2025-09-20,404
6774,26,1048,2025-09-20,392
6786,18,254,2025-09-20,156
6854,100,306,2025-09-20,216
6878,51,903,2025-09-20,280
6882,54,492,2025-09-20,294
6963,55,123,2025-09-20,436
6967,85,874,2025-09-20,337
6996,85,652,2025-09-20,422
7004,18,840,2025-09-20,357
7097,5,496,2025-09-20,415
7112,9,587,2025-09-20,327
7123,98,808,2025-09-20,41
7184,73,679,2025-09-20,217
7185,21,498,2025-09-20,245
7190,63,901,2025-09-20,47
7266,12,1083,2025-09-20,416
7292,47,560,2025-09-20,181
7393,4,812,2025-09-20,74
7399,83,915,2025-09-20,381
7431,47,692,2025-09-20,373
7446,92,913,2025-09-20,128
7451,84,266,2025-09-20,55
7477,39,763,2025-09-20,202
7489,13,858,2025-09-20,486
7523,98,509,2025-09-20,83
7572,55,128,2025-09-20,164
7581,93,128,2025-09-20,340
7656,2,173,2025-09-20,453
7666,11,918,2025-09-20,404
7699,73,537,2025-09-20,105
7719,73,1051,2025-09-20,311
7720,32,872,2025-09-20,134
7848,46,283,2025-09-20,172
7872,64,364,2025-09-20,369
7895,85,366,2025-09-20,273
7922,96,222,2025-09-20,232
7985,99,177,2025-09-20,75
7999,27,416,2025-09-20,269
8014,46,803,2025-09-20,445
8031,38,667,2025-09-20,471
8063,33,235,2025-09-20,314
8073,24,228,2025-09-20,14
8080,77,329,2025-09-20,233
8095,94,353,2025-09-20,187
8142,18,702,2025-09-20,304
8171,25,755,2025-09-20,474
8234,21,658,2025-09-20,225
8258,85,981,2025-09-20,330
8300,62,832,2025-09-20,168
8313,69,949,2025-09-20,36
8330,60,322,2025-09-20,246
8354,24,485,2025-09-20,21
8401,76,214,2025-09-20,12
8412,95,834,2025-09-20,32
8418,3,1044,2025-09-20,427
8424,12,779,2025-09-20,294
8434,74,722,2025-09-20,138
8481,4,210,2025-09-20,55
8535,7,419,2025-09-20,390
8541,26,208,2025-09-20,238
8593,9,548,2025-09-20,363
8695,63,537,2025-09-20,71
8726,79,847,2025-09-20,428
8762,8,217,2025-09-20,462
8780,79,716,2025-09-20,78
8788,58,451,2025-09-20,417
8853,74,280,2025-09-20,15
8862,92,338,2025-09-20,48
8897,38,285,2025-09-20,33
8902,64,735,2025-09-20,299
8925,100,705,2025-09-20,18
8942,67,865,2025-09-20,302
8970,66,811,2025-09-20,454
8987,66,960,2025-09-20,51
9044,15,837,2025-09-20,462
9053,42,923,2025-09-20,205
9108,33,1017,2025-09-20,426
9116,19,961,2025-09-20,380
9130,2,438,2025-09-20,373
9166,37,664,2025-09-20,10
9180,33,138,2025-09-20,426
9204,42,262,2025-09-20,367
9230,41,332,2025-09-20,473
9239,10,943,2025-09-20,303
9267,60,813,2025-09-20,197
9270,6,151,2025-09-20,376
9328,21,127,2025-09-20,194
9331,89,824,2025-09-20,367
9338,59,486,2025-09-20,450
9350,85,173,2025-09-20,312
9358,89,724,2025-09-20,45
9373,5,444,2025-09-20,170
9396,36,963,2025-09-20,414
9397,10,364,2025-09-20,477
9399,76,858,2025-09-20,465
9410,14,438,2025-09-20,157
9460,66,703,2025-09-20,251
9478,9,944,2025-09-20,253
9531,40,525,2025-09-20,290
9549,70,654,2025-09-20,360
9582,85,412,2025-09-20,471
9609,100,647,2025-09-20,48
9667,59,227,2025-09-20,392
9674,29,376,2025-09-20,311
9678,63,467,2025-09-20,389
9767,32,851,2025-09-20,140
9817,31,731,2025-09-20,395
9849,59,191,2025-09-20,219
9903,99,1052,2025-09-20,119
9906,55,293,2025-09-20,46
9924,75,656,2025-09-20,370
9959,25,467,2025-09-20,312
9980,39,180,2025-09-20,180
9988,72,1049,2025-09-20,124
