id,city_id,driver_id,car_id,date,sum
40,60,1032,2493,2025-09-23 02:08:10,164
81,75,662,2466,2025-09-23 07:00:36,176
84,13,913,2566,2025-09-23 19:36:14,68
109,85,950,2296,2025-09-23 12:27:14,146
256,18,165,1110,2025-09-23 08:56:53,407
274,58,718,4387,2025-09-23 23:09:58,228
302,91,1050,3701,2025-09-23 12:04:02,336
340,41,983,2986,2025-09-23 19:24:39,173
370,5,241,,2025-09-23 04:46:48,180
380,93,994,,2025-09-23 23:05:56,332
393,94,164,2879,2025-09-23 09:15:02,80
410,6,395,3555,2025-09-23 17:57:09,50
438,83,364,657,2025-09-23 17:05:42,105
458,48,526,2142,2025-09-23 02:55:16,291
497,77,789,297,2025-09-23 17:48:54,456
512,68,427,1103,2025-09-23 14:43:42,223
555,30,170,1274,2025-09-23 14:21:52,87
563,65,933,3475,2025-09-23 11:04:13,355
570,73,350,840,2025-09-23 13:14:41,125
591,18,910,4642,2025-09-23 11:55:03,380
631,38,853,2884,2025-09-23 10:08:02,334
639,38,952,2369,2025-09-23 14:39:26,45
642,85,258,2159,2025-09-23 10:18:10,226
656,72,695,1035,2025-09-23 11:13:30,304
667,6,930,3657,2025-09-23 17:00:40,68
677,50,105,929,2025-09-23 20:10:20,119
694,82,651,4635,2025-09-23 09:35:06,480
702,63,526,2142,2025-09-23 16:53:01,440
719,95,703,2388,2025-09-23 23:04:05,189
731,32,250,,2025-09-23 18:42:18,174
737,96,385,1569,2025-09-23 18:57:32,489
741,82,781,3800,2025-09-23 13:57:19,193
751,55,308,3693,2025-09-23 08:31:28,475
811,16,113,4962,2025-09-23 03:34:08,80
847,82,960,1928,2025-09-23 13:32:42,459
941,1,1072,1117,2025-09-23 16:38:49,495
951,27,356,91,2025-09-23 09:32:02,44
1006,2,906,4440,2025-09-23 13:56:08,329
1022,63,979,1247,2025-09-23 11:06:49,360
1031,9,419,,2025-09-23 17:03:13,269
1054,40,830,707,2025-09-23 16:51:11,339
1072,5,698,49,2025-09-23 14:44:03,302
1119,16,476,1371,2025-09-23 01:39:06,343
1126,33,586,238,2025-09-23 19:36:43,88
1130,80,721,3856,2025-09-23 10:39:14,80
1136,26,467,4496,2025-09-23 10:18:13,219
1170,41,113,911,2025-09-23 09:51:15,454
1174,67,805,,2025-09-23 17:45:24,326
1199,85,473,2935,2025-09-23 08:21:58,241
1228,39,964,2360,2025-09-23 22:13:16,290
1231,27,740,728,2025-09-23 18:34:12,158
1235,82,431,932,2025-09-23 09:07:27,69
1252,90,395,3555,2025-09-23 16:48:02,350
1259,82,822,2150,2025-09-23 15:39:35,341
1302,4,571,2148,2025-09-23 13:20:34,179
1311,75,147,2724,2025-09-23 21:55:15,444
1386,47,717,2489,2025-09-23 12:02:04,428
1441,58,902,4058,2025-09-23 10:07:48,496
1444,71,729,3424,2025-09-23 12:30:02,360
1481,29,794,4581,2025-09-23 09:16:49,127
1483,69,110,4602,2025-09-23 10:56:18,436
1576,69,109,4402,2025-09-23 11:43:44,482
1592,58,379,1309,2025-09-23 20:21:46,328
1596,35,229,2739,2025-09-23 11:00:58,234
1621,89,587,3494,2025-09-23 12:38:57,315
1634,38,656,899,2025-09-23 18:25:40,260
1688,99,942,4330,2025-09-23 12:28:41,431
1790,46,182,3584,2025-09-23 19:06:00,409
1792,78,581,330,2025-09-23 15:20:53,342
1825,33,432,1109,2025-09-23 13:30:18,342
1829,11,637,2834,2025-09-23 23:05:26,206
1835,23,888,,2025-09-23 00:39:23,36
1862,18,225,4261,2025-09-23 13:59:42,450
1864,68,315,956,2025-09-23 17:39:09,117
1867,62,842,3520,2025-09-23 12:09:20,319
1915,59,497,190,2025-09-23 21:43:29,452
1929,19,1066,1249,2025-09-23 16:19:46,421
1949,51,288,187,2025-09-23 17:57:38,479
1956,52,938,2664,2025-09-23 18:15:06,417
2038,34,902,1577,2025-09-23 18:33:01,130
2063,44,794,4581,2025-09-23 13:33:54,102
2097,1,628,434,2025-09-23 20:45:11,491
2101,50,1078,4376,2025-09-23 12:07:04,428
2148,37,527,2543,2025-09-23 20:45:29,423
2149,99,588,2119,2025-09-23 11:49:35,74
2152,23,726,1071,2025-09-23 13:13:27,29
2153,77,285,2550,2025-09-23 08:54:31,265
2223,83,673,2196,2025-09-23 22:58:26,44
2260,23,960,533,2025-09-23 09:11:25,364
2290,51,252,289,2025-09-23 13:42:43,447
2333,88,815,1214,2025-09-23 13:06:00,195
2340,72,729,4864,2025-09-23 17:39:54,435
2351,89,246,661,2025-09-23 19:22:15,126
2353,11,536,861,2025-09-23 11:21:54,400
2438,11,1033,3377,2025-09-23 15:49:27,43
2443,35,121,1969,2025-09-23 09:37:26,250
2572,92,493,4798,2025-09-23 11:04:24,226
2584,12,425,4874,2025-09-23 08:13:13,281
2596,34,268,4238,2025-09-23 09:26:31,249
2613,59,951,2458,2025-09-23 20:39:36,347
2667,79,470,4403,2025-09-23 08:15:44,354
2678,20,857,1963,2025-09-23 16:47:00,237
2689,63,338,3424,2025-09-23 18:04:27,41
2701,38,841,1006,2025-09-23 16:51:31,209
2719,86,207,232,2025-09-23 12:49:50,35
2748,8,747,4323,2025-09-23 18:14:15,419
2880,3,1036,2696,2025-09-23 04:14:23,78
2891,99,932,864,2025-09-23 22:10:07,14
2895,88,1044,1030,2025-09-23 10:34:01,193
2911,3,1094,1530,2025-09-23 03:36:11,357
2952,2,710,3808,2025-09-23 21:21:51,44
2995,56,1000,1837,2025-09-23 20:53:05,43
2998,69,488,2515,2025-09-23 20:03:37,201
3012,48,639,134,2025-09-23 10:22:04,257
3036,36,296,4734,2025-09-23 15:18:58,319
3050,99,1065,1821,2025-09-23 11:21:23,223
3082,26,615,1667,2025-09-23 20:10:46,360
3106,10,755,2408,2025-09-23 19:10:32,355
3211,47,747,4341,2025-09-23 21:28:14,356
3217,12,760,2361,2025-09-23 17:34:22,479
3218,50,508,3406,2025-09-23 19:10:26,310
3228,96,508,1525,2025-09-23 12:25:08,167
3257,59,992,2733,2025-09-23 12:22:57,215
3260,68,387,1211,2025-09-23 18:08:54,394
3273,78,300,2639,2025-09-23 13:44:13,83
3289,12,915,1039,2025-09-23 18:42:57,180
3292,49,1033,3377,2025-09-23 12:37:39,390
3313,40,615,1667,2025-09-23 11:42:20,73
3314,36,969,4620,2025-09-23 13:10:07,303
3316,64,399,2027,2025-09-23 13:59:34,202
3345,63,410,3802,2025-09-23 17:52:05,315
3364,75,652,4500,2025-09-23 19:44:17,429
3379,74,603,4022,2025-09-23 02:00:27,170
3391,55,1063,3790,2025-09-23 13:49:23,83
3394,83,298,993,2025-09-23 14:38:37,200
3426,55,634,3948,2025-09-23 23:07:36,461
3494,26,586,2535,2025-09-23 13:08:44,410
3530,54,664,459,2025-09-23 14:40:09,139
3537,77,381,3873,2025-09-23 19:08:45,76
3549,29,404,2952,2025-09-23 08:59:58,147
3592,44,974,729,2025-09-23 15:50:54,53
3645,16,1086,1082,2025-09-23 14:46:25,370
3662,59,668,3914,2025-09-23 15:05:08,434
3670,10,937,449,2025-09-23 18:00:37,249
3695,81,196,68,2025-09-23 15:07:54,128
3697,19,888,,2025-09-23 18:51:26,92
3783,82,391,304,2025-09-23 19:47:29,327
3810,30,202,3798,2025-09-23 11:49:35,420
3849,11,846,,2025-09-23 19:44:55,491
3880,72,385,4537,2025-09-23 09:24:10,321
3907,1,1057,2029,2025-09-23 19:37:23,454
3912,49,377,82,2025-09-23 11:23:28,97
3921,99,404,2952,2025-09-23 15:53:22,52
3957,80,817,359,2025-09-23 11:13:18,217
4068,66,860,3597,2025-09-23 19:54:47,289
4072,51,496,3639,2025-09-23 14:14:43,419
4086,44,571,2148,2025-09-23 17:55:09,449
4093,34,233,2402,2025-09-23 12:50:29,175
